51	35
88	35
71	38
69	59
54	65
27	67
219	71
112	83
126	88
83	91
193	98
35	101
53	103
234	107
126	110
36	111
81	112
172	116
153	118
115	127
210	127
132	128
173	132
58	135
73	135
237	144
187	146
204	146
142	148
166	150
41	153
92	155
57	164
44	166
142	166
200	167
113	169
184	170
214	172
75	181
95	181
227	189
184	195
198	197
26	202
114	208
59	210
76	213
216	218
174	220
237	223
95	224
100	234
64	237
106	243
88	262
35	276
69	279
25	293
74	293
48	301
221	307
61	311
89	313
38	326
