104	25
142	28
180	34
201	35
35	36
159	36
130	42
79	44
129	49
100	51
41	68
86	70
108	70
139	72
108	78
149	80
74	91
45	92
209	92
142	97
182	98
206	111
171	117
128	120
100	121
183	121
196	121
153	122
30	129
170	133
212	133
32	139
133	142
195	147
55	149
116	151
211	151
139	153
164	154
172	154
34	159
115	161
212	164
83	166
104	166
64	171
46	174
37	178
129	179
159	179
74	187
55	190
126	191
113	192
35	200
129	214
140	220
159	227
129	236
149	239
107	242
93	248
32	251
201	257
128	267
164	268
119	272
74	277
131	278
48	281
169	281
152	284
74	287
174	292
197	302
111	304
40	306
98	312
117	321
95	322
