38	27
205	28
104	34
201	34
73	43
37	45
164	48
51	50
149	50
91	52
29	53
196	53
209	59
52	63
137	65
68	67
107	69
201	71
229	75
77	76
190	78
210	86
170	92
142	95
192	95
44	99
110	100
221	101
71	103
126	104
94	110
79	112
50	117
149	120
105	124
130	131
38	132
71	133
91	141
145	151
99	154
76	158
50	160
234	179
89	185
196	186
227	194
63	199
230	222
113	237
70	242
25	248
113	253
32	262
68	263
55	269
72	287
48	292
31	293
118	297
79	308
221	311
120	323
