91	25
198	26
133	31
172	37
206	39
190	40
228	50
68	53
99	54
119	55
72	64
147	64
39	65
128	66
92	67
107	71
32	79
220	93
130	105
229	106
34	110
162	126
35	127
226	129
230	137
142	138
50	140
117	140
238	140
158	143
32	144
196	144
147	157
133	158
195	158
77	159
212	159
120	162
53	164
100	164
226	169
209	176
172	184
56	185
96	189
70	190
149	190
111	191
45	197
75	200
216	204
166	205
34	210
192	211
121	214
214	217
51	219
94	222
63	226
37	231
110	232
220	235
78	239
195	239
38	245
58	246
26	259
48	261
104	284
45	289
129	289
92	297
151	303
107	307
34	309
46	312
220	314
76	323
124	325
91	327
