125	112
162	114
119	125
166	130
156	133
120	143
147	148
95	149
178	149
71	151
64	161
103	162
120	165
150	172
187	175
98	180
81	181
101	192
33	193
57	193
109	199
91	201
64	203
131	203
149	204
31	207
114	208
199	212
148	216
89	220
127	220
181	220
109	224
66	225
100	228
143	232
111	235
181	242
126	244
164	244
94	247
117	250
67	251
221	253
174	260
148	267
110	270
98	272
161	273
37	278
106	280
121	280
92	289
108	291
183	291
123	292
93	301
141	307
222	311
