185	25
170	35
178	49
170	71
135	72
123	78
181	82
201	90
123	96
201	98
134	99
166	102
103	105
191	107
62	110
114	113
47	117
77	123
91	124
181	124
197	125
43	128
61	141
88	142
140	142
96	144
126	145
85	149
47	150
180	154
144	155
101	156
210	165
102	171
200	171
127	173
85	175
72	177
169	179
180	181
145	183
99	193
144	193
204	197
30	202
89	203
39	204
181	204
82	205
155	207
196	209
217	210
117	215
135	215
44	217
178	219
95	227
109	229
139	229
177	251
199	253
76	261
215	261
64	271
179	272
202	285
178	304
213	307
