25	46
196	52
27	66
197	76
26	84
197	91
214	96
25	103
124	118
26	119
186	119
197	121
213	121
109	134
135	137
95	139
187	139
76	140
169	144
25	145
55	147
113	154
66	157
125	161
195	163
58	169
34	175
196	177
208	178
57	186
25	187
173	187
165	190
96	197
180	197
44	200
59	202
67	203
112	207
153	212
55	215
68	218
144	221
77	222
173	225
89	239
96	251
116	259
177	263
114	274
138	277
69	283
88	284
45	286
126	291
25	293
102	296
144	299
49	306
70	315
163	320
93	323
46	326
