170	26
128	33
156	33
118	35
156	46
104	48
144	52
200	53
68	57
131	58
167	58
29	68
196	68
75	85
153	96
32	101
195	101
75	103
182	103
43	117
165	127
199	130
73	134
177	138
169	140
191	143
69	150
106	150
170	152
213	152
137	154
202	155
38	157
180	159
60	161
81	161
165	161
187	168
113	169
153	170
166	177
60	181
104	181
214	181
116	182
138	182
28	194
94	194
196	195
71	199
94	202
137	204
156	205
109	210
92	212
209	212
184	215
120	219
73	223
189	223
39	224
159	225
146	230
196	234
130	236
83	240
164	240
99	244
68	246
139	247
41	248
158	249
107	256
39	260
178	272
138	286
55	287
126	302
196	306
54	318
146	320
105	323
177	324
57	327
